Tipo                      Valor                          Linha      Posição   
--------------------------------------------------------------------------------
KW_PACKAGE                'package'                      1          0         
CLASS_NAME                'PizzariaMono'                 1          8         
CLASS_STEREOTYPE          'kind'                         3          22        
CLASS_NAME                'Pessoa'                       3          27        
LBRACE                    '{'                            3          34        
RELATION_NAME             'nome'                         4          40        
COLON                     ':'                            4          45        
DATA_TYPE                 'string'                       4          47        
LBRACKET                  '['                            4          54        
NUMBER                    1                              4          55        
RBRACKET                  ']'                            4          56        
RELATION_NAME             'cpf'                          5          62        
COLON                     ':'                            5          66        
DATA_TYPE                 'string'                       5          68        
LBRACKET                  '['                            5          75        
NUMBER                    1                              5          76        
RBRACKET                  ']'                            5          77        
RBRACE                    '}'                            6          79        
CLASS_STEREOTYPE          'kind'                         7          81        
CLASS_NAME                'Empresa'                      7          86        
LBRACE                    '{'                            7          94        
RELATION_NAME             'nome'                         8          100       
COLON                     ':'                            8          105       
DATA_TYPE                 'string'                       8          107       
LBRACKET                  '['                            8          114       
NUMBER                    1                              8          115       
RBRACKET                  ']'                            8          116       
RELATION_NAME             'cnpj'                         9          122       
COLON                     ':'                            9          127       
DATA_TYPE                 'string'                       9          129       
LBRACKET                  '['                            9          136       
NUMBER                    1                              9          137       
RBRACKET                  ']'                            9          138       
RBRACE                    '}'                            10         140       
CLASS_STEREOTYPE          'kind'                         11         142       
CLASS_NAME                'Item_Da_Pizzaria'             11         147       
LBRACE                    '{'                            11         164       
RELATION_NAME             'preco'                        12         170       
COLON                     ':'                            12         176       
DATA_TYPE                 'number'                       12         178       
RBRACE                    '}'                            13         185       
CLASS_STEREOTYPE          'kind'                         14         187       
CLASS_NAME                'Massa_Da_Pizza'               14         192       
CLASS_STEREOTYPE          'kind'                         15         207       
CLASS_NAME                'Cobertura_Da_Pizza'           15         212       
CLASS_STEREOTYPE          'kind'                         16         231       
CLASS_NAME                'Borda_Da_Pizza'               16         236       
CLASS_STEREOTYPE          'subkind'                      18         252       
CLASS_NAME                'Bebida'                       18         260       
KW_SPECIALIZES            'specializes'                  18         267       
CLASS_NAME                'Item_Da_Pizzaria'             18         279       
CLASS_STEREOTYPE          'subkind'                      19         296       
CLASS_NAME                'Petisco'                      19         304       
